Date,Type,Details,ticker
2020-12-15,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2020-12-16,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2020-12-16,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2020-12-17,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2020-12-17,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2020-12-30,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2020-12-31,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-02-19,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-02-25,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2021-02-26,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2021-02-26,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2021-03-03,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2021-03-03,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2021-03-04,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2021-03-04,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2021-03-05,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2021-03-05,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2021-03-08,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2021-03-08,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2021-04-08,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-04-08,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-04-09,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-04-09,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-04-12,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-04-12,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-04-13,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-04-13,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-04-14,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-04-14,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-04-15,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-04-15,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-04-16,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-04-16,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-04-19,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-04-19,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-04-20,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-04-20,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-04-21,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-04-21,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-05-12,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2021-05-12,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2021-05-13,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2021-05-13,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2021-06-02,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-06-02,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-06-08,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-06-08,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-06-09,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-06-09,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-06-10,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-06-10,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-06-11,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-06-11,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-06-14,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-06-14,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-06-17,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-06-17,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-06-22,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-06-22,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-06-23,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-06-23,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-06-24,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-06-24,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-06-25,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-06-25,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-06-28,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-06-28,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-06-29,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-06-29,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-06-30,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-06-30,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-07-01,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-07-01,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-07-02,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-07-02,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-07-06,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-07-06,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-07-07,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-07-07,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-07-08,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-07-08,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-07-09,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-07-09,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-07-12,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-07-12,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-07-13,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-07-13,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-07-14,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-07-14,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-07-15,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-07-15,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-08-05,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-08-06,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-08-30,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-08-30,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-08-31,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-08-31,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-09-01,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-09-01,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-09-07,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-09-07,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-09-08,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-09-08,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-09-09,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-09-09,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-09-20,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2021-09-20,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2021-09-21,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2021-09-21,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2021-09-28,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2021-09-28,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2021-09-29,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2021-09-29,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2021-09-30,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2021-09-30,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2021-10-04,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2021-10-04,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2021-10-05,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2021-10-05,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2021-10-22,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-10-22,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-10-25,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-10-25,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-10-26,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-10-26,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-10-27,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-10-27,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-10-28,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-10-28,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-10-29,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-10-29,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-11-01,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-11-01,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-11-02,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-11-02,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-11-03,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-11-03,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-11-04,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-11-04,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-11-05,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-11-05,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-11-08,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-11-08,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-11-09,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-11-09,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-11-11,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-11-11,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-11-12,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-11-12,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-11-15,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-11-15,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-11-16,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-11-16,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-11-17,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-11-17,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-11-18,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-11-18,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-11-19,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2021-11-19,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2022-01-14,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2022-01-14,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2022-01-18,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2022-01-18,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2022-01-19,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2022-01-19,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2022-01-20,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2022-01-20,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2022-01-21,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2022-01-21,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2022-01-24,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2022-01-24,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2022-01-25,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2022-01-25,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2022-01-26,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2022-01-26,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2022-01-27,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2022-01-27,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2022-02-23,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2022-02-23,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2022-03-08,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2022-03-08,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2022-03-25,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2022-03-25,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2022-03-28,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2022-03-28,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2022-03-29,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2022-03-29,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2022-03-30,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2022-03-30,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2022-03-31,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2022-03-31,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2022-04-01,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2022-04-01,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2022-04-04,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2022-04-04,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2022-04-22,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2022-04-22,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2022-04-25,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2022-04-25,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2022-04-26,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2022-04-26,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2022-04-27,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2022-04-27,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2022-05-09,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2022-05-09,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2022-05-24,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2022-05-24,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2022-06-17,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2022-06-17,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2022-07-08,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2022-07-08,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2022-07-21,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2022-07-21,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2022-07-29,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2022-07-29,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2022-08-01,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2022-08-01,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2022-08-02,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2022-08-02,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2022-08-03,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2022-08-03,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2022-08-04,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2022-08-04,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2022-08-05,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2022-08-05,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2022-08-12,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2022-08-12,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2022-08-15,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2022-08-15,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2022-08-16,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2022-08-16,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",QQQ
2022-08-30,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2022-08-30,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2022-08-31,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2022-08-31,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2022-09-01,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
2022-09-01,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",QQQ
